#,等级,检查项,标题,CWE,CVSS,CVSS向量,受影响URL,截图URL,描述,复现步骤,修复建议,时间
1,HIGH,cookie_insecure,"Cookie [HWWAFSESID] 严重不安全: 缺少 Secure, HttpOnly, SameSite",CWE-614 / CWE-1004,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,https://www.dahuatech.com,https://www.dahuatech.com,,,Set-Cookie: ...; Secure; HttpOnly; SameSite=Strict,2026-08-13 00:09:55
2,MEDIUM,security_headers,缺失响应头: Strict-Transport-Security — HSTS缺失,CWE-N/A,N/A,,https://www.dahuatech.com,https://www.dahuatech.com,,curl -I https://www.dahuatech.com | grep -i 'Strict-Transport-Security'  # 无返回,"Nginx: add_header Strict-Transport-Security ""max-age=31536000; includeSubDomains; preload"";",2026-08-13 00:09:52
3,MEDIUM,security_headers,缺失响应头: Content-Security-Policy — CSP缺失,CWE-N/A,N/A,,https://www.dahuatech.com,https://www.dahuatech.com,,curl -I https://www.dahuatech.com | grep -i 'Content-Security-Policy'  # 无返回,"Nginx: add_header Content-Security-Policy ""default-src 'self'"";",2026-08-13 00:09:53
4,MEDIUM,cms_vuln_hint,jQuery < 3.5.0 XSS (CVE-2020-11023/11022),CWE-1104,N/A,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,https://www.dahuatech.com,https://www.dahuatech.com,,,升级 jQuery 至最新版本,2026-08-13 00:10:02
5,MEDIUM,cms_vuln_hint,Spring4Shell (CVE-2022-22965),CWE-1104,N/A,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:N,https://www.dahuatech.com,https://www.dahuatech.com,,,升级 Spring 至最新版本,2026-08-13 00:10:03
6,LOW,ssl_cert,SSL 异常: timed out,CWE-N/A,N/A,,https://www.dahuatech.com,https://www.dahuatech.com,,,,2026-08-13 00:09:52
7,LOW,security_headers,缺失响应头: Referrer-Policy — Referrer泄露,CWE-N/A,N/A,,https://www.dahuatech.com,https://www.dahuatech.com,,curl -I https://www.dahuatech.com | grep -i 'Referrer-Policy'  # 无返回,"Nginx: add_header Referrer-Policy ""strict-origin-when-cross-origin"";",2026-08-13 00:09:53
8,LOW,security_headers,缺失响应头: Permissions-Policy — 权限未限制,CWE-N/A,N/A,,https://www.dahuatech.com,https://www.dahuatech.com,,curl -I https://www.dahuatech.com | grep -i 'Permissions-Policy'  # 无返回,"Nginx: add_header Permissions-Policy ""geolocation=(), microphone=(), camera=()"";",2026-08-13 00:09:53
9,LOW,security_headers,缺失响应头: Cross-Origin-Resource-Policy — 资源可跨域加载,CWE-N/A,N/A,,https://www.dahuatech.com,https://www.dahuatech.com,,curl -I https://www.dahuatech.com | grep -i 'Cross-Origin-Resource-Policy'  # 无返回,"Nginx: add_header Cross-Origin-Resource-Policy ""same-origin"";",2026-08-13 00:09:54
10,LOW,security_headers,缺失响应头: Cross-Origin-Opener-Policy — 跨域opener未限制,CWE-N/A,N/A,,https://www.dahuatech.com,https://www.dahuatech.com,,curl -I https://www.dahuatech.com | grep -i 'Cross-Origin-Opener-Policy'  # 无返回,"Nginx: add_header Cross-Origin-Opener-Policy ""same-origin"";",2026-08-13 00:09:54
11,LOW,security_headers,缺失响应头: Cross-Origin-Embedder-Policy — 跨域资源未限制,CWE-N/A,N/A,,https://www.dahuatech.com,https://www.dahuatech.com,,curl -I https://www.dahuatech.com | grep -i 'Cross-Origin-Embedder-Policy'  # 无返回,"Nginx: add_header Cross-Origin-Embedder-Policy ""require-corp"";",2026-08-13 00:09:54
12,LOW,email_disclosure,页面暴露 2 个企业邮箱: support@dahuatech.com,CWE-200,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,https://www.dahuatech.com,https://www.dahuatech.com,,,使用联系表单代替直接暴露邮箱,2026-08-13 00:09:55
13,LOW,external_http_link,HTTP 明文链接: http://isdp.dahuatech.com/easywork/web/outsourcer/login,CWE-319,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:L/A:N,https://www.dahuatech.com,https://www.dahuatech.com,,,升级为 HTTPS,2026-08-13 00:10:03
14,INFO,dns_resolve,"DNS: 119.3.116.73, 119.3.117.249, 119.3.117.247, 119.3.116.93",CWE-N/A,N/A,,https://www.dahuatech.com,https://www.dahuatech.com,,,,2026-08-13 00:09:41
15,INFO,http_basics,"HTTP 200, 217382B, https://www.dahuatech.com/",CWE-N/A,N/A,,https://www.dahuatech.com,https://www.dahuatech.com,,,,2026-08-13 00:09:42
16,INFO,security_headers,安全头正常: X-Frame-Options = DENY,CWE-N/A,N/A,,https://www.dahuatech.com,https://www.dahuatech.com,,,,2026-08-13 00:09:52
17,INFO,security_headers,安全头正常: X-Content-Type-Options = nosniff,CWE-N/A,N/A,,https://www.dahuatech.com,https://www.dahuatech.com,,,,2026-08-13 00:09:53
18,INFO,security_headers,安全头正常: X-XSS-Protection = 1; mode=block,CWE-N/A,N/A,,https://www.dahuatech.com,https://www.dahuatech.com,,,,2026-08-13 00:09:54
19,INFO,cms_fingerprint,"技术栈: PHP, jQuery, Spring",CWE-N/A,N/A,,https://www.dahuatech.com,https://www.dahuatech.com,,,,2026-08-13 00:10:02
